股票代號,產業名稱
3628,電子–其他電子
3629,文化創意
3630,電子–光電
3631,電子–電子零組件
3632,電子–通信網路
3638,
3642,
3645,電子–電子零組件
3646,電子–電子零組件
3652,電子–電腦及週邊設備
3653,電子–電子零組件
3658,
3661,電子–半導體
3662,
3663,電子–其他電子
3664,電子–通信網路
3665,電子–其他電子
3666,電子–光電
3669,電子–通信網路
3672,電子–通信網路
3673,電子–光電
3675,電子–半導體
3679,電子–電子零組件
3680,電子–半導體
3682,
3684,電子–通信網路
3685,電機機械
3686,電子–半導體
3687,數位雲端
3689,電子–電子零組件
3691,電子–光電
3693,電子–電腦及週邊設備
3694,電子–通信網路
3697,
3698,
3701,電子–電腦及週邊設備
3702,電子–電子通路
3703,建材營建
3704,電子–通信網路
3705,生技醫療
3706,電子–電腦及週邊設備
3707,電子–半導體
3708,綠能環保
3709,電子–電腦及週邊設備
3710,電子–電子零組件
3711,電子–半導體
3712,電子–電腦及週邊設備
3713,綠能環保
3714,電子–光電
3715,電子–電子零組件
3716,生技醫療
4102,生技醫療
4103,
4104,生技醫療
4105,生技醫療
4106,生技醫療
4107,生技醫療
4108,生技醫療
4109,生技醫療
4110,
4111,生技醫療
4113,建材營建
4114,生技醫療
4116,生技醫療
4119,生技醫療
4120,生技醫療
4121,生技醫療
4123,生技醫療
4126,生技醫療
4127,生技醫療
4128,生技醫療
4129,生技醫療
4130,生技醫療
4131,生技醫療
4133,生技醫療
4137,生技醫療
4138,生技醫療
4139,生技醫療
4141,
4142,生技醫療
4144,
4147,生技醫療
4148,生技醫療
4152,
4153,生技醫療
4154,其他
4155,生技醫療
4157,生技醫療
4160,生技醫療
4161,生技醫療
4162,生技醫療
4163,生技醫療
4164,生技醫療
4167,生技醫療
4168,生技醫療
4171,農業科技
4173,生技醫療
4174,生技醫療
4175,生技醫療
4180,
4183,生技醫療
4188,生技醫療
4190,生技醫療
4192,生技醫療
4198,生技醫療
4202,
4205,食品工業
4207,食品工業
4303,塑膠工業
4304,塑膠工業
4305,塑膠工業
4306,塑膠工業
4401,紡織纖維
4402,紡織纖維
4403,
4404,
4406,紡織纖維
4408,
